ADC read  | Milliamps read from  | Result with straight  | Variation of results
from PIC  | Reference Instrument | line equation         |
----------|----------------------|-----------------------| --------------------
1         | 3.3                  | 3.1254                | 0.1746
2         | 4.1                  | 4.3089                | -0.2089
3         | 5.3                  | 5.4924                | -0.1924
4         | 6.5                  | 6.6759                | -0.1759
5         | 7.5                  | 7.8594                | -0.3594
6         | 8.5                  | 9.0429                | -0.5429
9         | 13                   | 12.5934               | 0.4066
17        | 21.7                 | 22.0614               | -0.3614
26        | 33                   | 32.7129               | 0.2871
63        | 77                   | 76.5024               | 0.4976
100       | 120                  | 120.2919              | -0.2919
174       | 208                  | 207.8709              | 0.1291
247       | 295                  | 294.2664              | 0.7336
321       | 382                  | 381.8454              | 0.1546
396       | 471.5                | 470.6079              | 0.8921
428       | 508                  | 508.4799              | -0.4799
582       | 690                  | 690.7389              | -0.7389
